generation,tempsmin,tempsmax,tempsmoy
143,209.59529269998893,266.4899019000586,243.59018434166987
144,169.23400260019116,333.5660120998509,227.63492169999518
145,179.30067560006864,270.77925180015154,234.65381914165724
146,207.37512789992616,305.2108540001791,264.85979164170567
147,185.06682340009138,253.3318852998782,230.3007481583239
148,190.80564379994757,342.3010781998746,277.49174859165214
149,195.3092610000167,285.9198803999461,248.93863619999806
150,202.3251063998323,283.81328919995576,248.43317865000185
151,152.4029991000425,313.2845144001767,251.27324257501945
152,192.12998079997487,304.0659953998402,255.76950389166208
153,161.51514409994707,308.1158513999544,259.18555663332035
154,194.05508029996417,288.9141616001725,242.91520102498666
155,164.693332800176,311.8106259999331,246.2901005000458
156,226.13637170009315,375.6160579000134,280.9737196833594
157,206.46963029983453,330.0468206999358,267.3811025583418
158,180.96208640001714,347.01765280007385,277.3735101916827
159,203.9942532000132,293.7455972000025,262.064031716669
160,225.33401299989782,300.0106366998516,268.9354330833109
161,214.94181410013698,367.14766300003976,285.28286835832597
162,221.14330210001208,303.4597718999721,267.06162127497373
163,217.79977619997226,309.1179925999604,275.86489555829513
164,221.78879809984937,319.9382315000985,282.0489209416167
165,184.67068219999783,256.5326769000385,240.29789425001945
166,194.07743689999916,286.9557928000577,247.91956875005658
167,217.47295090020634,281.9420440001413,252.99367294173376
168,209.67996029998176,295.0444183999207,263.29573080834234
169,196.5073661999777,332.17522500013,269.77032850828255
170,214.68255189992487,341.1102948000189,271.8132093333018
171,160.75297459983267,297.22143879998475,260.8069187582781
172,191.0698621000629,305.63454789994285,259.64836546666146
173,185.18873769999482,288.6651977999136,249.63963836666275
174,233.4239688999951,351.65572650008835,284.1315705833064
175,193.86370069999248,328.22645339998417,263.04778228337335
176,187.69016040000133,328.57109729992226,269.3165844583418
177,190.21484729996882,324.92853319994174,268.72090492506203
178,193.54200870008208,331.8298359999899,260.9758069666762
179,215.913352600066,330.0845374998171,264.2010344333248
180,184.40522709977813,315.51930680009536,252.3984180750364
181,187.63107540016063,257.4911165998783,239.53489216663488
182,214.78328169998713,299.28398340009153,268.5802767666367
183,183.7473820000887,263.3073112999555,231.92485404167869
184,166.7406997999642,276.4471473998856,239.07204376663626
185,204.04025970003568,295.9103284000885,258.9384742833984
186,175.47803660016507,296.06417050003074,250.1518823916946
187,195.28830430004746,279.3944951999001,245.92160580831114
188,198.61545419995673,290.26089020003565,254.2384085416561
189,193.571915499866,272.4800974999089,245.69364262500312
190,176.28298420016654,306.0776384000201,278.06745965835097
191,196.86308600008488,311.8933971999213,265.2370667416253
192,224.51176819996908,319.63771829986945,291.7828198750115
193,237.28485469985753,314.36276110005565,283.8946821833185
194,224.70734750013798,314.213511900045,277.74758212505066
195,231.24968110001646,338.105726899812,285.66282027498045
196,220.6831815999467,311.33889409992844,268.1100680832945
197,187.98241599998437,285.74724339996465,252.64188068330986
198,213.05120140011422,307.8783842998091,261.8244278083439
199,238.47105099982582,308.2570175000001,272.2699765416716
200,205.49563380004838,295.17142649996094,244.75340707499223
201,160.61653769994155,281.33659900003113,229.98522865830455
202,181.02148439991288,251.15126610011794,220.69719464168884
203,183.73238780000247,266.23858070001006,232.56759422497512
204,171.67986839986406,269.77802169998176,214.34508185829813
205,192.23828140017577,278.34558809990995,230.396191991691
206,207.63192289997824,284.88087269989774,251.74183931665416
207,221.10488800005987,310.30231869989075,268.8512098999927
208,200.16346059995703,333.79567619995214,283.63201064166304
209,215.99534949986264,304.8544246000238,265.1143735666604
210,189.65158349997364,310.7253141000401,254.04990618332522
211,203.02265399997123,310.362745200051,270.44657572496607
212,231.44672070001252,302.5595805000048,272.1486511083397
213,198.29219079995528,280.6791923001874,254.47957365831826
214,194.91974280006252,308.85078019998036,262.69886719163816
215,194.6172461998649,313.09053419996053,257.17323737496434
216,212.04586860002019,304.3664128999226,263.6456181333051
217,192.25261639989913,282.9755848001223,236.98412325002332
218,193.4336067000404,275.9142231999431,233.8207234083287
219,190.65898239985108,305.4608172001317,247.99895504167458
220,208.47126000002027,332.22009229985997,281.8064130000227
221,246.28673880011775,308.02440209989436,291.49035815000144
